epoch,act_24h_early_blight_accuracy,act_24h_early_blight_loss,act_24h_late_blight_accuracy,act_24h_late_blight_loss,act_24h_leaf_mold_accuracy,act_24h_leaf_mold_loss,act_24h_powdery_mildew_accuracy,act_24h_powdery_mildew_loss,act_24h_spider_mites_accuracy,act_24h_spider_mites_loss,act_48h_early_blight_accuracy,act_48h_early_blight_loss,act_48h_late_blight_accuracy,act_48h_late_blight_loss,act_48h_leaf_mold_accuracy,act_48h_leaf_mold_loss,act_48h_powdery_mildew_accuracy,act_48h_powdery_mildew_loss,act_48h_spider_mites_accuracy,act_48h_spider_mites_loss,dlt_24h_early_blight_loss,dlt_24h_early_blight_mae,dlt_24h_late_blight_loss,dlt_24h_late_blight_mae,dlt_24h_leaf_mold_loss,dlt_24h_leaf_mold_mae,dlt_24h_powdery_mildew_loss,dlt_24h_powdery_mildew_mae,dlt_24h_spider_mites_loss,dlt_24h_spider_mites_mae,dlt_48h_early_blight_loss,dlt_48h_early_blight_mae,dlt_48h_late_blight_loss,dlt_48h_late_blight_mae,dlt_48h_leaf_mold_loss,dlt_48h_leaf_mold_mae,dlt_48h_powdery_mildew_loss,dlt_48h_powdery_mildew_mae,dlt_48h_spider_mites_loss,dlt_48h_spider_mites_mae,inf_24h_early_blight_loss,inf_24h_early_blight_mae,inf_24h_late_blight_loss,inf_24h_late_blight_mae,inf_24h_leaf_mold_loss,inf_24h_leaf_mold_mae,inf_24h_powdery_mildew_loss,inf_24h_powdery_mildew_mae,inf_24h_spider_mites_loss,inf_24h_spider_mites_mae,inf_48h_early_blight_loss,inf_48h_early_blight_mae,inf_48h_late_blight_loss,inf_48h_late_blight_mae,inf_48h_leaf_mold_loss,inf_48h_leaf_mold_mae,inf_48h_powdery_mildew_loss,inf_48h_powdery_mildew_mae,inf_48h_spider_mites_loss,inf_48h_spider_mites_mae,learning_rate,loss,val_act_24h_early_blight_accuracy,val_act_24h_early_blight_loss,val_act_24h_late_blight_accuracy,val_act_24h_late_blight_loss,val_act_24h_leaf_mold_accuracy,val_act_24h_leaf_mold_loss,val_act_24h_powdery_mildew_accuracy,val_act_24h_powdery_mildew_loss,val_act_24h_spider_mites_accuracy,val_act_24h_spider_mites_loss,val_act_48h_early_blight_accuracy,val_act_48h_early_blight_loss,val_act_48h_late_blight_accuracy,val_act_48h_late_blight_loss,val_act_48h_leaf_mold_accuracy,val_act_48h_leaf_mold_loss,val_act_48h_powdery_mildew_accuracy,val_act_48h_powdery_mildew_loss,val_act_48h_spider_mites_accuracy,val_act_48h_spider_mites_loss,val_dlt_24h_early_blight_loss,val_dlt_24h_early_blight_mae,val_dlt_24h_late_blight_loss,val_dlt_24h_late_blight_mae,val_dlt_24h_leaf_mold_loss,val_dlt_24h_leaf_mold_mae,val_dlt_24h_powdery_mildew_loss,val_dlt_24h_powdery_mildew_mae,val_dlt_24h_spider_mites_loss,val_dlt_24h_spider_mites_mae,val_dlt_48h_early_blight_loss,val_dlt_48h_early_blight_mae,val_dlt_48h_late_blight_loss,val_dlt_48h_late_blight_mae,val_dlt_48h_leaf_mold_loss,val_dlt_48h_leaf_mold_mae,val_dlt_48h_powdery_mildew_loss,val_dlt_48h_powdery_mildew_mae,val_dlt_48h_spider_mites_loss,val_dlt_48h_spider_mites_mae,val_inf_24h_early_blight_loss,val_inf_24h_early_blight_mae,val_inf_24h_late_blight_loss,val_inf_24h_late_blight_mae,val_inf_24h_leaf_mold_loss,val_inf_24h_leaf_mold_mae,val_inf_24h_powdery_mildew_loss,val_inf_24h_powdery_mildew_mae,val_inf_24h_spider_mites_loss,val_inf_24h_spider_mites_mae,val_inf_48h_early_blight_loss,val_inf_48h_early_blight_mae,val_inf_48h_late_blight_loss,val_inf_48h_late_blight_mae,val_inf_48h_leaf_mold_loss,val_inf_48h_leaf_mold_mae,val_inf_48h_powdery_mildew_loss,val_inf_48h_powdery_mildew_mae,val_inf_48h_spider_mites_loss,val_inf_48h_spider_mites_mae,val_loss
0,0.5036536455154419,0.8584084510803223,0.5981001257896423,0.6851450800895691,0.40920716524124146,1.0763230323791504,0.5937157273292542,0.7397022247314453,0.5560833215713501,0.7008576393127441,0.5515162348747253,0.7358980774879456,0.4862988591194153,0.837498664855957,0.5537084341049194,0.8543455600738525,0.5458531379699707,0.7213885188102722,0.5473145842552185,0.8185627460479736,1.7516505718231201,0.7626056671142578,0.8857495784759521,0.5671621561050415,1.2459982633590698,0.6263603568077087,3.298811674118042,1.205792784690857,1.6321492195129395,0.716788113117218,4.314357280731201,1.142542839050293,1.5271174907684326,0.7294957637786865,3.0588860511779785,0.9695249795913696,4.006048679351807,1.0853285789489746,4.687150478363037,1.1977421045303345,0.11812920868396759,0.2878299951553345,0.07774176448583603,0.23308530449867249,0.09649795293807983,0.2618904411792755,0.23810379207134247,0.45031458139419556,0.21506576240062714,0.4280721843242645,0.1855921894311905,0.3920566737651825,0.10750006884336472,0.27935919165611267,0.06047634035348892,0.19179558753967285,0.16140133142471313,0.36424198746681213,0.18413832783699036,0.39240819215774536,0.0005000000237487257,120.41975402832031,0.7959892153739929,0.6330806612968445,0.6509833931922913,0.6662271022796631,0.5295025110244751,0.6927863359451294,0.7204011082649231,0.6468214392662048,0.7851908802986145,0.6012164354324341,0.7254145741462708,0.6757864952087402,0.6424990296363831,0.679083526134491,0.6764365434646606,0.6318508386611938,0.4454300105571747,0.7075865864753723,0.6864635348320007,0.6614777445793152,0.27810385823249817,0.20529015362262726,0.6184986233711243,0.2957371175289154,0.37975504994392395,0.25701797008514404,1.076413869857788,0.39747482538223267,0.4445822834968567,0.23882780969142914,0.893959105014801,0.3621591627597809,1.5589008331298828,0.5411694049835205,1.0496561527252197,0.42116183042526245,2.4004547595977783,0.5914806723594666,1.2914226055145264,0.5262946486473083,0.11364443600177765,0.31702128052711487,0.04990047216415405,0.2135622650384903,0.09677662700414658,0.29082849621772766,0.15868239104747772,0.3761436939239502,0.16949011385440826,0.3912939429283142,0.1531108021736145,0.3727826178073883,0.07105809450149536,0.24964410066604614,0.07976839691400528,0.26057180762290955,0.13701914250850677,0.34744754433631897,0.16513259708881378,0.3853752613067627,57.93527603149414
1,0.6081476211547852,0.6812217235565186,0.6465107798576355,0.6623315215110779,0.6149068474769592,0.7189298868179321,0.5805626511573792,0.6898480653762817,0.603763222694397,0.6799173951148987,0.594629168510437,0.6932873725891113,0.6024844646453857,0.6926164031028748,0.6905370950698853,0.6456788778305054,0.5904274582862854,0.6848246455192566,0.5759956240653992,0.7247214317321777,1.368239402770996,0.559878408908844,0.5359843969345093,0.37919244170188904,0.8834373354911804,0.41334429383277893,1.452290654182434,0.6691510677337646,1.3560184240341187,0.5729196071624756,3.598395824432373,0.8796508312225342,1.1836384534835815,0.5538728833198547,2.374528408050537,0.6840998530387878,3.4103710651397705,0.8537114858627319,3.775355339050293,0.9330030679702759,0.11535031348466873,0.29134538769721985,0.05927516520023346,0.19519609212875366,0.07981903105974197,0.24124784767627716,0.16329869627952576,0.37670809030532837,0.15015213191509247,0.35638007521629333,0.13750997185707092,0.3404710590839386,0.06859298050403595,0.21569666266441345,0.06208322197198868,0.20163865387439728,0.13538813591003418,0.3370820879936218,0.14473648369312286,0.3489972949028015,0.0005000000237487257,93.43690490722656,0.7956035733222961,0.6095713376998901,0.6517547369003296,0.6609964966773987,0.746625542640686,0.6168010234832764,0.7026610374450684,0.6550451517105103,0.7909756898880005,0.6089620590209961,0.7932896018028259,0.6455850005149841,0.6517547369003296,0.6638513207435608,0.7743926048278809,0.5817594528198242,0.7304280996322632,0.669329047203064,0.7389124631881714,0.6429802179336548,0.27326294779777527,0.19340288639068604,0.6178386211395264,0.28358253836631775,0.37191900610923767,0.25298428535461426,1.1397252082824707,0.4631914496421814,0.4372349977493286,0.22883537411689758,0.8774896860122681,0.3303113281726837,1.5537467002868652,0.5197306871414185,1.058893084526062,0.41650164127349854,2.254157066345215,0.5506131649017334,1.2776126861572266,0.49830642342567444,0.08348430693149567,0.2702384293079376,0.034763023257255554,0.18098419904708862,0.07840250432491302,0.2615927457809448,0.10533787310123444,0.3046865165233612,0.14361540973186493,0.35779616236686707,0.12539249658584595,0.3337348997592926,0.04108954593539238,0.19604381918907166,0.06985203176736832,0.24538418650627136,0.1064143106341362,0.30664458870887756,0.13450360298156738,0.34516075253486633,56.108192443847656
2,0.6258677244186401,0.6616822481155396,0.658933162689209,0.6508013606071472,0.6976616978645325,0.6412016749382019,0.6180124282836914,0.6716335415840149,0.6260504126548767,0.6592339873313904,0.6108878254890442,0.6783071160316467,0.6300694346427917,0.6663750410079956,0.7349287271499634,0.6116403937339783,0.6198392510414124,0.6734292507171631,0.6061381101608276,0.6852147579193115,1.324550747871399,0.5131306648254395,0.48857423663139343,0.32481569051742554,0.830198347568512,0.34740814566612244,1.3277840614318848,0.584147036075592,1.2971384525299072,0.5231936573982239,3.5568978786468506,0.8210203051567078,1.1332449913024902,0.49609455466270447,2.2637338638305664,0.6011887788772583,3.2640275955200195,0.7834887504577637,3.665722608566284,0.8564466238021851,0.10211855173110962,0.26924896240234375,0.050773076713085175,0.17637798190116882,0.0664534941315651,0.21833115816116333,0.13416451215744019,0.3364473581314087,0.13014811277389526,0.32446327805519104,0.11897223442792892,0.31226611137390137,0.05382339656352997,0.1854688972234726,0.051900751888751984,0.18616946041584015,0.12261242419481277,0.31504184007644653,0.1328810751438141,0.3282758593559265,0.0005000000237487257,89.46968841552734,0.7956035733222961,0.5952744483947754,0.6517547369003296,0.6559581160545349,0.7682221531867981,0.5921412706375122,0.7211723923683167,0.6503729224205017,0.7909756898880005,0.6005507111549377,0.7956035733222961,0.6226116418838501,0.6517547369003296,0.6550434827804565,0.7682221531867981,0.5676522254943848,0.7304280996322632,0.6419896483421326,0.7832626104354858,0.6251711249351501,0.27392908930778503,0.19692730903625488,0.6201392412185669,0.2803058624267578,0.37044796347618103,0.24134957790374756,1.1283599138259888,0.45843958854675293,0.4373500943183899,0.22335974872112274,0.8734243512153625,0.3166354298591614,1.551571011543274,0.5097134709358215,1.0620635747909546,0.41809746623039246,2.2462289333343506,0.5374534726142883,1.2655839920043945,0.47198864817619324,0.053016889840364456,0.21876384317874908,0.022904839366674423,0.14133253693580627,0.06357748806476593,0.23818597197532654,0.07576481997966766,0.25943392515182495,0.11572502553462982,0.3199196457862854,0.0967283844947815,0.2908830940723419,0.024201465770602226,0.14757265150547028,0.05566290393471718,0.2230738252401352,0.08239341527223587,0.27118900418281555,0.10972069948911667,0.31066304445266724,55.00674819946289
3,0.637194037437439,0.6548357009887695,0.6642308831214905,0.6429737210273743,0.7340153455734253,0.6003772616386414,0.6276945471763611,0.6734722852706909,0.6302521228790283,0.6654336452484131,0.6198392510414124,0.6717157363891602,0.657654345035553,0.6468905210494995,0.7557544708251953,0.5817310214042664,0.6308001279830933,0.6628732681274414,0.6194738745689392,0.6758854389190674,1.3147821426391602,0.49906450510025024,0.4695587754249573,0.3018700182437897,0.8130565881729126,0.3202204406261444,1.2340632677078247,0.5368170738220215,1.2764840126037598,0.500544548034668,3.527109384536743,0.7892651557922363,1.1108474731445312,0.46225568652153015,2.224518060684204,0.5592818260192871,3.265402317047119,0.7579525709152222,3.606206178665161,0.822252094745636,0.09515376389026642,0.25185033679008484,0.03936834633350372,0.1496157944202423,0.05131734907627106,0.18832962214946747,0.11934978514909744,0.3099720776081085,0.1185431107878685,0.30195650458335876,0.10852398723363876,0.2924913763999939,0.040333326905965805,0.15446260571479797,0.03855428844690323,0.15756861865520477,0.11249309033155441,0.293761670589447,0.12415467202663422,0.3109661638736725,0.0005000000237487257,87.73788452148438,0.7956035733222961,0.5784586071968079,0.6517547369003296,0.6513704061508179,0.7682221531867981,0.5671921968460083,0.7211723923683167,0.6417586803436279,0.7909756898880005,0.5842899680137634,0.7956035733222961,0.5998764634132385,0.6517547369003296,0.648277997970581,0.7682221531867981,0.547946572303772,0.7304280996322632,0.6302148103713989,0.7909756898880005,0.6039360165596008,0.27383947372436523,0.19376733899116516,0.6219332218170166,0.2782920002937317,0.3739621937274933,0.2340860366821289,1.1140855550765991,0.4397994577884674,0.4351961612701416,0.22526130080223083,0.8722150921821594,0.3138098120689392,1.5438034534454346,0.4842143654823303,1.0686558485031128,0.4130876660346985,2.238898754119873,0.5391526818275452,1.2627243995666504,0.4762476980686188,0.031671617180109024,0.17208144068717957,0.018617378547787666,0.11603035032749176,0.043929267674684525,0.20152094960212708,0.057224124670028687,0.22655348479747772,0.0891781747341156,0.2823322117328644,0.06796495616436005,0.24653753638267517,0.01888757012784481,0.1199226900935173,0.03781547397375107,0.18752187490463257,0.06181569769978523,0.23695509135723114,0.08860112726688385,0.2807261347770691,54.0072135925293
4,0.6434051990509033,0.6435016393661499,0.664413571357727,0.6305904984474182,0.7605041861534119,0.5751872658729553,0.6276945471763611,0.6606995463371277,0.628607988357544,0.6583104729652405,0.6256850361824036,0.6596887707710266,0.6677018404006958,0.6296231746673584,0.7687248587608337,0.5707681179046631,0.6289733052253723,0.6578115820884705,0.6360979080200195,0.6627853512763977,1.3135346174240112,0.4866315722465515,0.46654465794563293,0.2903372645378113,0.8055764436721802,0.3033151626586914,1.2360717058181763,0.5174471139907837,1.2597670555114746,0.48600709438323975,3.499709129333496,0.7681123614311218,1.0998889207839966,0.44527241587638855,2.1868278980255127,0.5323648452758789,3.2255918979644775,0.7490875124931335,3.582930088043213,0.7994845509529114,0.08937260508537292,0.23528771102428436,0.030082572251558304,0.12671887874603271,0.04000137373805046,0.16144737601280212,0.10938993096351624,0.29074257612228394,0.11196234077215195,0.2871559262275696,0.09940410405397415,0.2750086784362793,0.030272843316197395,0.129458948969841,0.028855791315436363,0.13144253194332123,0.1048612892627716,0.2769717276096344,0.11740242689847946,0.296568363904953,0.0005000000237487257,86.55448913574219,0.7956035733222961,0.5584491491317749,0.6517547369003296,0.6453173160552979,0.7682221531867981,0.5546098947525024,0.7211723923683167,0.628268837928772,0.7909756898880005,0.5776168704032898,0.7956035733222961,0.5775970220565796,0.6517547369003296,0.6418406367301941,0.7682221531867981,0.5421327352523804,0.7304280996322632,0.6168427467346191,0.7909756898880005,0.5910681486129761,0.2750260531902313,0.19117282330989838,0.6225146651268005,0.2761835753917694,0.3723949193954468,0.2226635068655014,1.1005688905715942,0.43435344099998474,0.43522128462791443,0.2232947051525116,0.8716002106666565,0.30777695775032043,1.5425711870193481,0.48207831382751465,1.0657988786697388,0.40025830268859863,2.2344539165496826,0.5250891447067261,1.2585488557815552,0.4639335572719574,0.022260133177042007,0.14360564947128296,0.017541131004691124,0.09894876927137375,0.03381254896521568,0.17801892757415771,0.041693609207868576,0.19413121044635773,0.0690787062048912,0.2518671452999115,0.05068408325314522,0.21529504656791687,0.017545778304338455,0.10361107438802719,0.02735229767858982,0.1590188443660736,0.04462207108736038,0.20318862795829773,0.07326915115118027,0.2576195001602173,53.26017761230469
5,0.6673365235328674,0.616940438747406,0.6649616360664368,0.6247714757919312,0.7679941654205322,0.5545174479484558,0.6276945471763611,0.6561882495880127,0.6329923272132874,0.6494541764259338,0.6280599236488342,0.6568315625190735,0.6751918196678162,0.6160832643508911,0.7703689932823181,0.5523996353149414,0.6302521228790283,0.6544328331947327,0.6404823064804077,0.6513786315917969,1.3014607429504395,0.48207956552505493,0.4577849507331848,0.2801613211631775,0.8066365122795105,0.28771713376045227,1.212235927581787,0.5046476721763611,1.2602462768554688,0.48211485147476196,3.4430806636810303,0.7590020895004272,1.0949046611785889,0.43988534808158875,2.1683480739593506,0.5086408257484436,3.252772808074951,0.7454712390899658,3.5631465911865234,0.7888282537460327,0.08735322207212448,0.22600698471069336,0.02504369243979454,0.1135518029332161,0.03185804560780525,0.1393125206232071,0.10035201907157898,0.27016565203666687,0.10390955209732056,0.27084094285964966,0.09264861792325974,0.26095840334892273,0.024599352851510048,0.11476726830005646,0.023165175691246986,0.11121499538421631,0.09690321236848831,0.2581496238708496,0.11122843623161316,0.282898873090744,0.0005000000237487257,85.62989807128906,0.7956035733222961,0.5341809988021851,0.6517547369003296,0.6382851004600525,0.7682221531867981,0.5421103239059448,0.7211723923683167,0.6172980070114136,0.7909756898880005,0.5710235834121704,0.7956035733222961,0.5569243431091309,0.6517547369003296,0.6372102499008179,0.7682221531867981,0.5331441760063171,0.7304280996322632,0.6082468032836914,0.7909756898880005,0.5800285935401917,0.2745012044906616,0.17829816043376923,0.6236093640327454,0.2755604386329651,0.3718687891960144,0.21681709587574005,1.089569330215454,0.41618812084198,0.4383813738822937,0.22434908151626587,0.8751328587532043,0.3157581686973572,1.5405882596969604,0.4698972702026367,1.0661150217056274,0.3949773609638214,2.232469081878662,0.526907742023468,1.2567044496536255,0.45446810126304626,0.01701805740594864,0.12160418182611465,0.017697937786579132,0.08727113157510757,0.027207523584365845,0.15922418236732483,0.03161059319972992,0.17021077871322632,0.05592551454901695,0.22904227674007416,0.03707338497042656,0.1859579086303711,0.017400439828634262,0.09225855022668839,0.021614275872707367,0.13644710183143616,0.03349485620856285,0.17732340097427368,0.06325012445449829,0.24129317700862885,52.6860466003418
6,0.6921812295913696,0.5967950224876404,0.6713554859161377,0.6010502576828003,0.7701863646507263,0.5455313324928284,0.6282426118850708,0.6494402289390564,0.6466934680938721,0.6410426497459412,0.6346364617347717,0.6453653573989868,0.6828644275665283,0.5922388434410095,0.7709170579910278,0.543073832988739,0.6311655044555664,0.6491444706916809,0.653087317943573,0.6414853930473328,1.2952020168304443,0.4828573167324066,0.4577685296535492,0.2750159800052643,0.7881577610969543,0.27829238772392273,1.2130348682403564,0.4967150390148163,1.2483553886413574,0.4800143241882324,3.3913729190826416,0.7708389163017273,1.0926926136016846,0.43119969964027405,2.1639010906219482,0.5002222657203674,3.23655104637146,0.7381256818771362,3.505234718322754,0.7831341624259949,0.08480431139469147,0.21679580211639404,0.020707370713353157,0.1005089208483696,0.02711690217256546,0.12559102475643158,0.09464152902364731,0.2559972107410431,0.09992149472236633,0.259029746055603,0.08753731101751328,0.24695007503032684,0.020276373252272606,0.10106158256530762,0.020174408331513405,0.09866216778755188,0.09279903024435043,0.2458169162273407,0.10632267594337463,0.26896971464157104,0.0005000000237487257,84.54474639892578,0.7956035733222961,0.5122247934341431,0.6517547369003296,0.6242919564247131,0.7682221531867981,0.529444694519043,0.7211723923683167,0.6062837839126587,0.7909756898880005,0.5608463287353516,0.7956035733222961,0.5353844165802002,0.6517547369003296,0.6290087699890137,0.7682221531867981,0.5210813879966736,0.7304280996322632,0.5992246866226196,0.7909756898880005,0.5692154765129089,0.27485722303390503,0.17743127048015594,0.6243799924850464,0.2755596339702606,0.3732282817363739,0.21821217238903046,1.0864202976226807,0.4220244586467743,0.4418429732322693,0.22286701202392578,0.8769693970680237,0.342515230178833,1.5397021770477295,0.46060433983802795,1.0607956647872925,0.395181804895401,2.222928524017334,0.5195221900939941,1.2547119855880737,0.45042839646339417,0.014168892055749893,0.1035747304558754,0.018434971570968628,0.07638920098543167,0.021020950749516487,0.135832279920578,0.021886764094233513,0.14078578352928162,0.04425894469022751,0.20540863275527954,0.02676430530846119,0.158436119556427,0.017857680097222328,0.0803021788597107,0.018067460507154465,0.11316200345754623,0.024189159274101257,0.15034952759742737,0.051481328904628754,0.21961882710456848,52.07986831665039
7,0.7117281556129456,0.5740293860435486,0.6832298040390015,0.5777690410614014,0.7718304991722107,0.5294995307922363,0.6300694346427917,0.6351374983787537,0.6658750176429749,0.6257961988449097,0.6592984795570374,0.6180704236030579,0.7086225748062134,0.5697798132896423,0.7716478109359741,0.5278103351593018,0.6324442625045776,0.6351398229598999,0.6708074808120728,0.6237022876739502,1.2908258438110352,0.4847783148288727,0.45530006289482117,0.27189183235168457,0.7935560345649719,0.27362462878227234,1.2091673612594604,0.49326518177986145,1.2492092847824097,0.47573214769363403,3.36645245552063,0.7827787399291992,1.0872929096221924,0.42730337381362915,2.156939744949341,0.49171823263168335,3.2106049060821533,0.733802855014801,3.4859845638275146,0.7863646149635315,0.07985194027423859,0.2060796022415161,0.018410485237836838,0.09191007167100906,0.023700211197137833,0.1136699840426445,0.08813552558422089,0.2404671609401703,0.09528335928916931,0.24801452457904816,0.08171524852514267,0.23152580857276917,0.01764492131769657,0.0915297120809555,0.018392276018857956,0.08887005597352982,0.08753308653831482,0.23374155163764954,0.10393661260604858,0.2587852478027344,0.0005000000237487257,83.57707977294922,0.7956035733222961,0.4933789074420929,0.6517547369003296,0.6085236668586731,0.7682221531867981,0.5256737470626831,0.7211723923683167,0.5843856930732727,0.7909756898880005,0.5442043542861938,0.7956035733222961,0.5103273391723633,0.6517547369003296,0.6134493350982666,0.7682221531867981,0.521362841129303,0.7304280996322632,0.5822368264198303,0.7909756898880005,0.5503868460655212,0.27515965700149536,0.18911540508270264,0.6274373531341553,0.2761979103088379,0.3728869557380676,0.21657603979110718,1.0998473167419434,0.4585144519805908,0.444909006357193,0.24479560554027557,0.8844784498214722,0.37768223881721497,1.534566044807434,0.46146175265312195,1.0588560104370117,0.3988918364048004,2.2237510681152344,0.5103644728660583,1.2693748474121094,0.4873501658439636,0.012219556607306004,0.08648848533630371,0.018861178308725357,0.07027270644903183,0.019450681284070015,0.12604428827762604,0.015444938093423843,0.10993308573961258,0.030704908072948456,0.17065586149692535,0.01820298284292221,0.12930601835250854,0.018347304314374924,0.07325932383537292,0.017566831782460213,0.10345804691314697,0.017070749774575233,0.1198752373456955,0.034982070326805115,0.1820300966501236,51.6047477722168
8,0.7394958138465881,0.5450020432472229,0.7257946729660034,0.5319309830665588,0.7727438807487488,0.5231242179870605,0.644501268863678,0.6177889108657837,0.7022287249565125,0.5973021984100342,0.7274388074874878,0.5762038826942444,0.7484471797943115,0.5261456966400146,0.7716478109359741,0.5238428711891174,0.635915219783783,0.6194543838500977,0.70880526304245,0.5920054316520691,1.2836815118789673,0.4816246032714844,0.45492023229599,0.27199429273605347,0.7809333205223083,0.26919981837272644,1.2201632261276245,0.49671173095703125,1.2242475748062134,0.48315921425819397,3.233372449874878,0.7937634587287903,1.0933371782302856,0.4296445846557617,2.112771987915039,0.4871588349342346,3.2005820274353027,0.7414329648017883,3.448448657989502,0.8041360378265381,0.0758328065276146,0.19695821404457092,0.015750229358673096,0.08289569616317749,0.022130606696009636,0.10695436596870422,0.08110654354095459,0.22222360968589783,0.08547451347112656,0.228371724486351,0.07703636586666107,0.21775802969932556,0.015046403743326664,0.08193294703960419,0.017724186182022095,0.08346458524465561,0.08006823807954788,0.2161663919687271,0.09487420320510864,0.24171750247478485,0.0005000000237487257,81.7800064086914,0.7956035733222961,0.4773120582103729,0.6521403789520264,0.5876525640487671,0.7682221531867981,0.5235788822174072,0.7227150201797485,0.5637668371200562,0.7909756898880005,0.5324373841285706,0.7956035733222961,0.48699045181274414,0.6552256345748901,0.5930885672569275,0.7682221531867981,0.5234998464584351,0.7304280996322632,0.564022958278656,0.7909756898880005,0.5314006805419922,0.2757346034049988,0.1990818977355957,0.6298588514328003,0.2783254086971283,0.3725060522556305,0.2182416170835495,1.1245181560516357,0.4960446059703827,0.4481213390827179,0.25303083658218384,0.8944072723388672,0.40452608466148376,1.5286591053009033,0.4621649384498596,1.0533506870269775,0.407084584236145,2.222163438796997,0.5169268250465393,1.2957770824432373,0.5382699370384216,0.010379413142800331,0.07548145949840546,0.019213303923606873,0.06647441536188126,0.01944049820303917,0.11970612406730652,0.013158607296645641,0.08477704972028732,0.019728796556591988,0.12754608690738678,0.013777036219835281,0.11061907559633255,0.019010502845048904,0.06871742010116577,0.017979420721530914,0.09742419421672821,0.013902063481509686,0.0941304937005043,0.02266848459839821,0.14234498143196106,51.261207580566406
9,0.7670807242393494,0.5065023899078369,0.7895506024360657,0.485506147146225,0.7698209881782532,0.5101842880249023,0.6792108416557312,0.5898352265357971,0.7314578294754028,0.5667262673377991,0.7703689932823181,0.5291382074356079,0.7937523126602173,0.4790852963924408,0.7732919454574585,0.5111005306243896,0.6899890303611755,0.5901138186454773,0.7374863028526306,0.5651017427444458,1.2277544736862183,0.4870944321155548,0.4600381851196289,0.27740389108657837,0.7755386829376221,0.27289894223213196,1.204062581062317,0.4977497160434723,1.2334538698196411,0.4858083128929138,3.1107871532440186,0.8054082989692688,1.0904531478881836,0.4316371977329254,2.0853545665740967,0.49673277139663696,3.20063853263855,0.7526894807815552,3.3840792179107666,0.8040688037872314,0.06944525986909866,0.18347302079200745,0.01459099818021059,0.07739723473787308,0.020052827894687653,0.09551900625228882,0.07405725121498108,0.2046673595905304,0.07668185234069824,0.21224503219127655,0.07023072242736816,0.2006067931652069,0.014134101569652557,0.0767299085855484,0.017174752429127693,0.07572021335363388,0.07252476364374161,0.20011937618255615,0.08209920674562454,0.2230747789144516,0.0005000000237487257,79.70769500732422,0.7956035733222961,0.4734326899051666,0.7462399005889893,0.5344265699386597,0.7682221531867981,0.5103113651275635,0.73081374168396,0.545074462890625,0.7909756898880005,0.5314578413963318,0.7956035733222961,0.4783846437931061,0.7462399005889893,0.543557345867157,0.7682221531867981,0.5122857689857483,0.7389124631881714,0.5392019748687744,0.7909756898880005,0.5285477042198181,0.27738577127456665,0.2006334364414215,0.6195282340049744,0.28011295199394226,0.37718021869659424,0.22648896276950836,1.1293410062789917,0.5082218050956726,0.44445717334747314,0.244624063372612,0.903476893901825,0.3979399800300598,1.5196349620819092,0.4649980068206787,1.051724910736084,0.4226361811161041,2.2137770652770996,0.5283029079437256,1.2917516231536865,0.5377939939498901,0.010122304782271385,0.07065528631210327,0.018942615017294884,0.06379050761461258,0.01719818450510502,0.09806915372610092,0.012643923982977867,0.06910715997219086,0.018165182322263718,0.1172727644443512,0.012029802426695824,0.1001296415925026,0.019083216786384583,0.06560244411230087,0.017934974282979965,0.08338700234889984,0.012964470311999321,0.07816703617572784,0.020179318264126778,0.1300973892211914,50.618648529052734
