metric,value
train_loss_step,0.15563476085662842
val_loss,0.10040947794914246
val_SMAPE,0.19349931180477142
val_MAE,0.08835157006978989
val_RMSE,0.20908814668655396
val_MAPE,4321441.0
train_loss_epoch,0.10120856016874313
