epoch,loss,next_stage_accuracy,next_stage_loss,time_to_transition_loss,time_to_transition_mae,val_loss,val_next_stage_accuracy,val_next_stage_loss,val_time_to_transition_loss,val_time_to_transition_mae
0,1.9639226198196411,0.23903913795948029,1.9178061485290527,0.46115949749946594,0.8902907371520996,2.4467623233795166,0.0,2.4061126708984375,0.406495600938797,0.788723886013031
1,1.897927165031433,0.3025365471839905,1.8526384830474854,0.4528931677341461,0.8712546229362488,1.9340373277664185,0.006147541105747223,1.8956615924835205,0.3837534487247467,0.7533887028694153
2,1.610710620880127,0.4145808815956116,1.5661075115203857,0.4460308253765106,0.8713796138763428,2.3813424110412598,0.012978142127394676,2.3423402309417725,0.3900202214717865,0.7674161791801453
3,1.3674674034118652,0.4931966960430145,1.321753740310669,0.45713603496551514,0.8727781772613525,3.1265056133270264,0.030054645612835884,3.083890914916992,0.4261409640312195,0.81340092420578
4,1.202568531036377,0.5795397162437439,1.1568148136138916,0.457537442445755,0.8733011484146118,3.129000663757324,0.004098360426723957,3.089578866958618,0.3942122459411621,0.7594200968742371
5,1.0693035125732422,0.6250630021095276,1.0223053693771362,0.46998104453086853,0.889701247215271,3.8229401111602783,0.015710381790995598,3.7825491428375244,0.4039064943790436,0.7848684191703796
6,0.999286413192749,0.6406853795051575,0.9557020664215088,0.43584099411964417,0.8435934782028198,4.023797512054443,0.04713114723563194,3.9808506965637207,0.42946872115135193,0.8210169076919556
7,0.7780778408050537,0.7560893893241882,0.7332916259765625,0.44786250591278076,0.8636190891265869,4.007219314575195,0.005464480724185705,3.9663705825805664,0.40848204493522644,0.7876294851303101
8,0.6787476539611816,0.790189802646637,0.6334665417671204,0.45281127095222473,0.871647298336029,4.717049598693848,0.031420763581991196,4.676987171173096,0.4006240963935852,0.7848489880561829
9,0.4722352623939514,0.8656139969825745,0.42743971943855286,0.44795650243759155,0.8594975471496582,5.337701797485352,0.012295082211494446,5.299832820892334,0.37868374586105347,0.7581966519355774
10,0.343033105134964,0.9052578806877136,0.2994430363178253,0.43590080738067627,0.8461722731590271,5.286275386810303,0.027322404086589813,5.247386455535889,0.3888893723487854,0.7677316069602966
11,0.2938457727432251,0.9148328304290771,0.25155720114707947,0.42288535833358765,0.8363873958587646,5.492464065551758,0.026639344170689583,5.456714153289795,0.3574961721897125,0.73615562915802
12,0.22473369538784027,0.9561565518379211,0.18283504247665405,0.4189862012863159,0.8275794386863708,5.7022175788879395,0.04098360612988472,5.666537761688232,0.3567946255207062,0.7346020340919495
13,0.17291836440563202,0.9642197489738464,0.13185462355613708,0.4106375575065613,0.8181715607643127,6.113482475280762,0.049863386899232864,6.077394008636475,0.3608815371990204,0.7383169531822205
14,0.13320446014404297,0.9816899299621582,0.09296504408121109,0.40239447355270386,0.8044425249099731,6.171404838562012,0.07581967115402222,6.137471675872803,0.33932486176490784,0.7212762832641602
15,0.21885758638381958,0.9353267550468445,0.17798008024692535,0.4087751805782318,0.8160309195518494,5.732685565948486,0.03893442451953888,5.70095157623291,0.31735169887542725,0.6926737427711487
16,0.16510266065597534,0.9684193134307861,0.12456335872411728,0.40539318323135376,0.8010510206222534,6.330289363861084,0.025956284254789352,6.2958478927612305,0.3444184958934784,0.7225961089134216
