epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.8435137867927551,0.0010000000474974513,0.8952599167823792,0.9213483333587646,0.6523703336715698
1,0.9078651666641235,0.0010000000474974513,0.6871163845062256,0.9499489068984985,0.5677859783172607
2,0.9211440086364746,0.0010000000474974513,0.6350001096725464,0.9427987933158875,0.5676639080047607
3,0.9311542510986328,0.0010000000474974513,0.6060099005699158,0.9397343993186951,0.5689118504524231
4,0.9401429891586304,0.0010000000474974513,0.5797136425971985,0.9683350324630737,0.531838059425354
5,0.9452502727508545,0.0010000000474974513,0.5649229884147644,0.9713993668556213,0.5117300748825073
6,0.9483146071434021,0.0010000000474974513,0.5539961457252502,0.9550561904907227,0.5201414227485657
7,0.9544433355331421,0.0010000000474974513,0.5516675114631653,0.9744637608528137,0.5235096216201782
0,0.9548518657684326,2.9999999242136255e-05,0.5500649809837341,0.9785495400428772,0.5046695470809937
1,0.9609805941581726,2.9999999242136255e-05,0.5325801372528076,0.9795709848403931,0.4933629333972931
2,0.9640449285507202,2.9999999242136255e-05,0.5232571959495544,0.9775280952453613,0.4987504184246063
3,0.968539297580719,2.9999999242136255e-05,0.5174641013145447,0.9642492532730103,0.5068343281745911
4,0.9716036915779114,2.9999999242136255e-05,0.5134548544883728,0.9775280952453613,0.49184417724609375
5,0.9738508462905884,2.9999999242136255e-05,0.5084989070892334,0.9642492532730103,0.5095416903495789
6,0.9748722910881042,2.9999999242136255e-05,0.503179669380188,0.9713993668556213,0.4873432219028473
7,0.9754852056503296,2.9999999242136255e-05,0.5042372345924377,0.9693564772605896,0.48584607243537903
8,0.9775280952453613,2.9999999242136255e-05,0.5020806789398193,0.9693564772605896,0.48860546946525574
9,0.9814096093177795,2.9999999242136255e-05,0.49481001496315,0.966292142868042,0.4950356185436249
10,0.9775280952453613,2.9999999242136255e-05,0.4948168992996216,0.9805924296379089,0.47470802068710327
11,0.9812052845954895,2.9999999242136255e-05,0.48980265855789185,0.9744637608528137,0.47714897990226746
12,0.9822267889976501,2.9999999242136255e-05,0.48933786153793335,0.9836567640304565,0.47140422463417053
13,0.9836567640304565,2.9999999242136255e-05,0.48585814237594604,0.9713993668556213,0.48119285702705383
14,0.9822267889976501,2.9999999242136255e-05,0.48640307784080505,0.9846782684326172,0.46897462010383606
