epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.7486454844474792,0.0010000000474974513,1.0290387868881226,0.8499116897583008,0.7615352272987366
1,0.8393403887748718,0.0010000000474974513,0.800348699092865,0.8575632572174072,0.7568979263305664
2,0.8633686900138855,0.0010000000474974513,0.7466633915901184,0.8669805526733398,0.736527144908905
3,0.8783274292945862,0.0010000000474974513,0.7231875061988831,0.9223072528839111,0.6547019481658936
4,0.880683183670044,0.0010000000474974513,0.7076908946037292,0.9034726023674011,0.6686246991157532
5,0.891166090965271,0.0010000000474974513,0.6889365911483765,0.9028840661048889,0.668193519115448
6,0.8961130976676941,0.0010000000474974513,0.6863821744918823,0.9252501726150513,0.6229511499404907
7,0.8957597017288208,0.0010000000474974513,0.6817837953567505,0.8952324986457825,0.6888919472694397
8,0.902473509311676,0.0010000000474974513,0.6665652394294739,0.9264273047447205,0.6249057054519653
9,0.9058892726898193,0.0010000000474974513,0.6643495559692383,0.8581518530845642,0.7392180562019348
0,0.9160188436508179,4.999999873689376e-05,0.6445988416671753,0.9264273047447205,0.621784508228302
1,0.9396937489509583,4.999999873689376e-05,0.6063977479934692,0.9358446002006531,0.6136494874954224
2,0.9465253353118896,4.999999873689376e-05,0.5888602137565613,0.9670394062995911,0.5583846569061279
3,0.9525324106216431,4.999999873689376e-05,0.5774243474006653,0.9458504915237427,0.5971994400024414
4,0.9554770588874817,4.999999873689376e-05,0.5674784779548645,0.967628002166748,0.5550183653831482
5,0.9611307382583618,4.999999873689376e-05,0.5597436428070068,0.9535020589828491,0.5741297006607056
6,0.9664310812950134,4.999999873689376e-05,0.548617959022522,0.9664508700370789,0.5446038842201233
7,0.9703180193901062,4.999999873689376e-05,0.5422972440719604,0.9729252457618713,0.5370985865592957
8,0.9714958667755127,4.999999873689376e-05,0.5379149913787842,0.9705709218978882,0.5348515510559082
9,0.9738515615463257,4.999999873689376e-05,0.531269907951355,0.9723366498947144,0.5307068824768066
10,0.9732626676559448,4.999999873689376e-05,0.5313237905502319,0.9776338934898376,0.5212319493293762
11,0.9755005836486816,4.999999873689376e-05,0.5272123217582703,0.9699823260307312,0.5320467352867126
12,0.9791519641876221,4.999999873689376e-05,0.5203404426574707,0.9758681654930115,0.5223511457443237
13,0.9784452319145203,4.999999873689376e-05,0.5163140892982483,0.9829311370849609,0.508348822593689
14,0.9818609952926636,4.999999873689376e-05,0.5149006843566895,0.9699823260307312,0.5219644904136658
15,0.9819787740707397,4.999999873689376e-05,0.5101802349090576,0.9776338934898376,0.5159750580787659
16,0.983863353729248,4.999999873689376e-05,0.5059377551078796,0.9876397848129272,0.4952166974544525
17,0.9813898801803589,4.999999873689376e-05,0.5077152848243713,0.9805768132209778,0.508110761642456
18,0.9825677275657654,4.999999873689376e-05,0.5035088062286377,0.9811654090881348,0.507321298122406
19,0.9856301546096802,4.999999873689376e-05,0.5010099411010742,0.9835197329521179,0.49610960483551025
20,0.9885748028755188,1.9999999494757503e-05,0.49593260884284973,0.9888169765472412,0.49395719170570374
21,0.9875147342681885,1.9999999494757503e-05,0.49636945128440857,0.9876397848129272,0.49299436807632446
22,0.9891636967658997,1.9999999494757503e-05,0.49387404322624207,0.9805768132209778,0.5051641464233398
23,0.988692581653595,1.9999999494757503e-05,0.4945134222507477,0.9876397848129272,0.4895341396331787
24,0.9877502918243408,1.9999999494757503e-05,0.49259698390960693,0.9858740568161011,0.49458348751068115
