epoch,learning_rate,loss,output_H12_loss,output_H12_mae,output_H24_loss,output_H24_mae,output_H48_loss,output_H48_mae,output_H6_loss,output_H6_mae,val_loss,val_output_H12_loss,val_output_H12_mae,val_output_H24_loss,val_output_H24_mae,val_output_H48_loss,val_output_H48_mae,val_output_H6_loss,val_output_H6_mae
19,0.0010000000474974513,23.790283203125,3.1740503311157227,3.1740503311157227,10.296996116638184,10.296996116638184,7.183056354522705,7.183056354522705,3.136176347732544,3.136176347732544,61.55135726928711,12.669440269470215,12.65497875213623,16.064783096313477,16.047893524169922,21.101505279541016,21.14173698425293,11.727946281433105,11.706743240356445
20,0.0010000000474974513,23.511648178100586,3.1141598224639893,3.1141598224639893,10.262799263000488,10.262799263000488,7.079108715057373,7.079108715057373,3.055577278137207,3.055577278137207,60.05154800415039,11.982897758483887,11.973572731018066,15.541762351989746,15.534049034118652,21.16692543029785,21.20937728881836,11.353240966796875,11.334551811218262
21,0.0010000000474974513,23.37578010559082,3.097942352294922,3.097942352294922,10.256876945495605,10.256876945495605,6.9978227615356445,6.9978227615356445,3.0231382846832275,3.0231382846832275,60.23505783081055,12.154068946838379,12.139001846313477,15.707047462463379,15.686347007751465,20.94373321533203,20.993743896484375,11.438855171203613,11.41596508026123
22,0.0010000000474974513,23.208480834960938,3.0265042781829834,3.0265042781829834,10.272605895996094,10.272605895996094,6.923564910888672,6.923564910888672,2.985811233520508,2.985811233520508,60.28114700317383,11.807193756103516,11.80055046081543,15.75027084350586,15.736347198486328,21.447040557861328,21.50789451599121,11.254988670349121,11.236358642578125
23,0.0010000000474974513,23.019147872924805,3.009392261505127,3.009392261505127,10.234561920166016,10.234561920166016,6.825116157531738,6.825116157531738,2.950080156326294,2.950080156326294,61.12894821166992,12.183518409729004,12.169384002685547,16.218761444091797,16.202360153198242,21.252775192260742,21.30461311340332,11.476716041564941,11.452587127685547
24,0.0010000000474974513,22.733003616333008,2.969658613204956,2.969658613204956,10.208356857299805,10.208356857299805,6.660801887512207,6.660801887512207,2.894188642501831,2.894188642501831,60.26735305786133,11.841291427612305,11.834452629089355,15.731977462768555,15.723618507385254,21.459556579589844,21.52863121032715,11.19450569152832,11.180644989013672
25,0.0010000000474974513,22.617595672607422,2.9384913444519043,2.9384913444519043,10.196356773376465,10.196356773376465,6.564611434936523,6.564611434936523,2.9181337356567383,2.9181337356567383,61.598670959472656,12.029557228088379,12.018677711486816,16.300613403320312,16.280336380004883,21.96550941467285,22.02057647705078,11.300079345703125,11.279072761535645
26,0.0005000000237487257,22.083904266357422,2.834782838821411,2.834782838821411,10.099693298339844,10.099693298339844,6.329535007476807,6.329535007476807,2.8198931217193604,2.8198931217193604,60.98284912109375,11.93105411529541,11.915644645690918,16.0218563079834,15.998139381408691,21.78154754638672,21.837566375732422,11.25732135772705,11.231492042541504
27,0.0005000000237487257,22.007421493530273,2.818544626235962,2.818544626235962,10.08117389678955,10.08117389678955,6.31593656539917,6.31593656539917,2.791761875152588,2.791761875152588,61.11882019042969,12.120475769042969,12.108551979064941,16.166418075561523,16.150501251220703,21.53569793701172,21.597009658813477,11.28643798828125,11.262763023376465
28,0.0005000000237487257,21.891632080078125,2.782958507537842,2.782958507537842,10.074172973632812,10.074172973632812,6.257721900939941,6.257721900939941,2.776780128479004,2.776780128479004,61.0492057800293,11.98178768157959,11.966896057128906,16.192119598388672,16.172969818115234,21.484882354736328,21.53968620300293,11.396257400512695,11.369651794433594
29,0.0005000000237487257,21.74199867248535,2.7725112438201904,2.7725112438201904,10.001078605651855,10.001078605651855,6.2105607986450195,6.2105607986450195,2.7578494548797607,2.7578494548797607,60.84815216064453,12.018237113952637,12.013253211975098,16.065723419189453,16.05699348449707,21.551111221313477,21.618207931518555,11.175347328186035,11.159701347351074
30,0.0005000000237487257,21.68931007385254,2.744558811187744,2.744558811187744,9.999382972717285,9.999382972717285,6.204254627227783,6.204254627227783,2.7411131858825684,2.7411131858825684,60.78948974609375,11.98660945892334,11.977093696594238,16.097061157226562,16.079822540283203,21.40367889404297,21.465147018432617,11.29122543334961,11.267423629760742
31,0.0005000000237487257,21.575420379638672,2.738966226577759,2.738966226577759,9.980722427368164,9.980722427368164,6.145212650299072,6.145212650299072,2.710519313812256,2.710519313812256,60.540733337402344,11.994612693786621,11.986562728881836,15.946063041687012,15.934167861938477,21.279321670532227,21.343305587768555,11.299215316772461,11.276688575744629
32,0.0005000000237487257,21.622482299804688,2.7408580780029297,2.7408580780029297,9.989258766174316,9.989258766174316,6.1731743812561035,6.1731743812561035,2.719191789627075,2.719191789627075,60.603965759277344,11.942773818969727,11.927094459533691,15.978860855102539,15.962077140808105,21.392555236816406,21.455575942993164,11.286346435546875,11.259214401245117
33,0.0002500000118743628,21.35025405883789,2.7052700519561768,2.7052700519561768,9.945340156555176,9.945340156555176,6.027353286743164,6.027353286743164,2.672286033630371,2.672286033630371,61.19170379638672,12.016109466552734,11.998591423034668,16.307008743286133,16.28476333618164,21.533159255981445,21.59285545349121,11.345599174499512,11.315497398376465
