epoch,current_stage_accuracy,current_stage_loss,hours_to_next_loss,hours_to_next_mae,loss,next_stage_accuracy,next_stage_loss,trans_24h_accuracy,trans_24h_loss,trans_48h_accuracy,trans_48h_loss,val_current_stage_accuracy,val_current_stage_loss,val_hours_to_next_loss,val_hours_to_next_mae,val_loss,val_next_stage_accuracy,val_next_stage_loss,val_trans_24h_accuracy,val_trans_24h_loss,val_trans_48h_accuracy,val_trans_48h_loss,learning_rate
0,0.9939416646957397,0.028007185086607933,0.10135239362716675,0.38137274980545044,0.4774566888809204,0.9933737516403198,0.03114144690334797,0.9774706363677979,0.0512486957013607,0.9751988053321838,0.06788945198059082,0.9888434410095215,0.03408706933259964,0.19501575827598572,0.6058734655380249,1.1196050643920898,0.985496461391449,0.03734137862920761,0.9479360580444336,0.16503477096557617,0.9181851744651794,0.3180113732814789,0.0010000000474974513
1,0.9903445839881897,0.03634681925177574,0.10779537260532379,0.3970640301704407,0.5623348951339722,0.992048442363739,0.035638753324747086,0.971601665019989,0.06902074068784714,0.96270352602005,0.09571784734725952,0.9579769372940063,0.10931460559368134,0.10576767474412918,0.39627692103385925,1.350616216659546,0.9419858455657959,0.15329661965370178,0.9375232458114624,0.21539674699306488,0.8917813301086426,0.3915107548236847,0.0010000000474974513
2,0.9886406660079956,0.04125192016363144,0.14267440140247345,0.47769030928611755,0.6750487089157104,0.9875047206878662,0.04322562366724014,0.9714123606681824,0.06527765095233917,0.9668686389923096,0.10250172764062881,0.8988471627235413,0.6618626117706299,0.12990377843379974,0.4444892406463623,3.116358995437622,0.8891781568527222,0.5887851715087891,0.9494235515594482,0.1241888701915741,0.83599853515625,0.39142537117004395,0.0010000000474974513
3,0.949829638004303,0.281904399394989,0.11320720613002777,0.40055763721466064,1.4118754863739014,0.950776219367981,0.27127572894096375,0.9695191383361816,0.06305751949548721,0.9666792750358582,0.08877218514680862,0.8657493591308594,0.4061184227466583,0.09558401256799698,0.36426857113838196,2.3377387523651123,0.8508739471435547,0.4663204252719879,0.9416139721870422,0.19556988775730133,0.8947564363479614,0.33850914239883423,0.0010000000474974513
4,0.9187807440757751,0.2986481785774231,0.09401145577430725,0.358743816614151,1.444176197052002,0.9193487167358398,0.2992035448551178,0.9681938886642456,0.06488526612520218,0.9668686389923096,0.09222470223903656,0.9066567420959473,0.21966062486171722,0.08338763564825058,0.3326243460178375,1.5750184059143066,0.9036816954612732,0.22562384605407715,0.9226478338241577,0.16470445692539215,0.8687244057655334,0.38898858428001404,0.0010000000474974513
5,0.9280575513839722,0.21382145583629608,0.08129791170358658,0.3289661407470703,1.1305782794952393,0.9263536334037781,0.21789897978305817,0.9714123606681824,0.06486377120018005,0.9628928303718567,0.1018492579460144,0.8155447840690613,0.5154239535331726,0.09864985942840576,0.37455424666404724,2.53829288482666,0.8177761435508728,0.5401811003684998,0.9471922516822815,0.13659214973449707,0.907772421836853,0.2562618851661682,0.0010000000474974513
6,0.9890193343162537,0.0495896115899086,0.09655708819627762,0.36722972989082336,0.5476269721984863,0.9880726933479309,0.049937903881073,0.9763347506523132,0.05778194218873978,0.9746308326721191,0.07188931852579117,0.9308292865753174,0.21924719214439392,0.13594357669353485,0.4567296504974365,1.649629831314087,0.908888041973114,0.2559054493904114,0.9475641250610352,0.1426127851009369,0.8925250768661499,0.3084314167499542,0.0010000000474974513
7,0.9941310286521912,0.028698178008198738,0.09053824841976166,0.34619131684303284,0.43571507930755615,0.9945096373558044,0.028065716847777367,0.9755774140357971,0.05014016851782799,0.978227972984314,0.05785850062966347,0.950539231300354,0.11781851202249527,0.08124600350856781,0.325389564037323,1.0756934881210327,0.9483079314231873,0.11924006044864655,0.9468203783035278,0.12280096113681793,0.8899219036102295,0.31113865971565247,0.0010000000474974513
8,0.9960242509841919,0.01819915696978569,0.07866843044757843,0.3249112069606781,0.37458884716033936,0.9958348870277405,0.019555874168872833,0.9786065816879272,0.04846295341849327,0.9774706363677979,0.06213294342160225,0.9564893841743469,0.0934847816824913,0.10380876064300537,0.3945114016532898,1.0265969038009644,0.9661584496498108,0.09763430804014206,0.9460766315460205,0.1283193677663803,0.9111194014549255,0.2818552851676941,0.0010000000474974513
9,0.9977281093597412,0.016269903630018234,0.0691673532128334,0.29955434799194336,0.34185805916786194,0.9964028596878052,0.01761193759739399,0.978227972984314,0.04774650186300278,0.9770920276641846,0.06059343367815018,0.957233190536499,0.08919834345579147,0.09181751310825348,0.34706684947013855,1.0747205018997192,0.9706210494041443,0.08690616488456726,0.942729651927948,0.13707613945007324,0.9018222093582153,0.3748754560947418,0.0010000000474974513
10,0.9979174733161926,0.0156386811286211,0.06976006925106049,0.2997399866580963,0.32976996898651123,0.9981067776679993,0.015588019043207169,0.9761453866958618,0.04705974459648132,0.9799318313598633,0.05231926217675209,0.9735961556434631,0.07386570423841476,0.08923642337322235,0.347917377948761,0.9171528816223145,0.9799181818962097,0.07474713772535324,0.9512829780578613,0.12062293291091919,0.9070286154747009,0.29315507411956787,0.0010000000474974513
11,0.9982960820198059,0.012921870686113834,0.05907892435789108,0.27046722173690796,0.29394057393074036,0.9973495006561279,0.013765490613877773,0.9765240550041199,0.04902499541640282,0.9820144176483154,0.04914829507470131,0.9669021964073181,0.07961434125900269,0.08862821012735367,0.3450867235660553,0.9217597842216492,0.9761993288993835,0.07189973443746567,0.9550018310546875,0.11978519707918167,0.9062848687171936,0.2926056683063507,0.0010000000474974513
12,0.9969708323478699,0.014246728271245956,0.05945810675621033,0.2705788016319275,0.29058194160461426,0.9962135553359985,0.015618824400007725,0.9765240550041199,0.047889452427625656,0.9865581393241882,0.04065903276205063,0.9687616229057312,0.08715318143367767,0.09142834693193436,0.3550337851047516,0.9881077408790588,0.9784306287765503,0.07606883347034454,0.9516549110412598,0.12133452296257019,0.9055411219596863,0.3279400169849396,0.0010000000474974513
13,0.9979174733161926,0.012453638948500156,0.06122451275587082,0.27568089962005615,0.2890244424343109,0.9973495006561279,0.012830447405576706,0.978227972984314,0.04544927552342415,0.9844755530357361,0.04497367516160011,0.978802502155304,0.06703992933034897,0.08525074273347855,0.3478758633136749,0.88697749376297,0.9817776083946228,0.06626882404088974,0.9527705311775208,0.1495649814605713,0.9241353869438171,0.2705506980419159,0.0010000000474974513
14,0.9973495006561279,0.011355279013514519,0.07668080180883408,0.3172256350517273,0.3248954713344574,0.998674750328064,0.010307583026587963,0.9793638586997986,0.0437416173517704,0.9822037220001221,0.0495024248957634,0.979546308517456,0.05843107029795647,0.10312699526548386,0.38708245754241943,0.9447013735771179,0.9784306287765503,0.06059081107378006,0.9490516781806946,0.13155682384967804,0.9200446009635925,0.3260326087474823,0.0010000000474974513
15,0.9971601963043213,0.011240223422646523,0.06384535878896713,0.28341302275657654,0.2841344475746155,0.9971601963043213,0.01130035798996687,0.9799318313598633,0.042145028710365295,0.9837182760238647,0.041407447308301926,0.9791744351387024,0.05423162132501602,0.09495198726654053,0.35990065336227417,0.8675476908683777,0.978802502155304,0.05613943561911583,0.9501673579216003,0.13202743232250214,0.9181851744651794,0.28636687994003296,0.0010000000474974513
16,0.9975388050079346,0.011275158263742924,0.06320562958717346,0.2797428369522095,0.2876051068305969,0.9973495006561279,0.011658663861453533,0.9797425270080566,0.043360352516174316,0.9842862486839294,0.04524148628115654,0.9657865166664124,0.09779629856348038,0.09407124668359756,0.3619595468044281,1.122805118560791,0.970992922782898,0.08734685182571411,0.9475641250610352,0.14318202435970306,0.8999627828598022,0.39260774850845337,0.0010000000474974513
